[INFO ] [2021-09-05 21:14:15,257] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 21:36:01,251] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing885@mail.vn
[INFO ] [2021-09-05 21:36:01,357] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:36:01,455] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-05 21:36:02,526] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-05 21:36:02,774]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:36:02,777] Postcondition: Close the browser
[INFO ] [2021-09-05 21:39:40,083] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 21:39:48,166] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-05 21:39:48,372]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:39:48,374] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-05 21:39:50,329] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-05 21:39:50,628] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-05 21:39:50,765] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-05 21:39:50,859] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing201@mail.vn
[INFO ] [2021-09-05 21:39:50,971] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:39:51,072] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-05 21:39:51,161] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-05 21:39:53,256] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-05 21:39:53,354]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:39:53,354] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-05 21:39:55,624] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-05 21:39:55,717]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-09-05 21:39:55,728] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-05 21:39:56,298] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing201@mail.vn
[INFO ] [2021-09-05 21:39:56,433] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:39:56,518] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-05 21:39:57,477] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-05 21:39:57,649]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 21:39:57,652] Postcondition: Close the browser
[INFO ] [2021-09-05 21:43:22,136] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 21:43:30,264] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-05 21:44:00,480] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-05 21:44:01,896] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing601@mail.vn
[INFO ] [2021-09-05 21:44:02,071] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-05 21:44:02,215] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-05 21:44:02,767] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-05 21:44:32,797] Postcondition: Close the browser
[INFO ] [2021-09-05 22:13:21,863] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 22:13:32,531] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-05 22:13:32,952]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 22:13:32,963] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-05 22:13:34,505] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-05 22:13:34,806] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-05 22:13:34,959] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-05 22:13:35,147] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing626@mail.vn
[INFO ] [2021-09-05 22:13:35,323] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-05 22:13:35,470] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-05 22:13:35,657] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-05 22:13:37,846] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-05 22:13:38,042]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 22:13:38,042] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-05 22:13:39,572] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-05 22:13:39,698]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-09-05 22:13:39,765] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-05 22:13:41,001] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing626@mail.vn
[INFO ] [2021-09-05 22:13:41,121] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-05 22:13:41,217] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-05 22:13:42,682] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-05 22:13:42,793]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 22:13:42,796] Postcondition: Close the browser
[INFO ] [2021-09-05 22:14:52,121] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-05 22:15:01,067] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-05 22:15:01,348]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 22:15:01,351] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-05 22:15:02,851] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-05 22:15:03,190] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-05 22:15:03,320] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-05 22:15:03,430] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing154@mail.vn
[INFO ] [2021-09-05 22:15:03,556] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-05 22:15:03,646] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-05 22:15:03,750] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-05 22:15:05,852] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-05 22:15:05,954]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 22:15:05,955] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-05 22:15:07,598] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-05 22:15:07,722]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 22:15:07,728] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-05 22:15:08,982] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing154@mail.vn
[INFO ] [2021-09-05 22:15:09,137] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-05 22:15:09,232] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-05 22:15:10,903] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-05 22:15:11,017]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-05 22:15:11,019] Postcondition: Close the browser
[INFO ] [2021-09-06 21:06:55,805] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-06 21:07:06,898] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-06 21:07:07,147]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:07:07,149] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-06 21:07:08,691] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-06 21:07:09,007] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-06 21:07:09,173] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-06 21:07:09,279] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing794@mail.vn
[INFO ] [2021-09-06 21:07:09,427] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:07:09,534] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-06 21:07:09,670] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-06 21:07:11,290] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-06 21:07:11,393]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:07:11,393] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-06 21:07:13,286] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-06 21:07:13,474]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:07:13,676] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-06 21:07:14,234] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing794@mail.vn
[INFO ] [2021-09-06 21:07:14,376] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:07:14,506] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-06 21:07:16,163] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-06 21:07:16,292]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:07:16,295] Postcondition: Close the browser
[INFO ] [2021-09-06 21:09:39,480] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-06 21:09:49,076] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-06 21:09:49,280]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:09:49,282] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-06 21:09:52,078] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-06 21:09:52,401] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-06 21:09:52,559] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-06 21:09:52,682] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing659@mail.vn
[INFO ] [2021-09-06 21:09:52,795] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:09:52,879] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-06 21:09:52,977] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-06 21:09:57,212] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-06 21:09:57,315]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:09:57,316] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-06 21:09:58,812] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-06 21:09:58,920]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:09:58,929] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-06 21:09:59,706] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing659@mail.vn
[INFO ] [2021-09-06 21:09:59,861] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:09:59,958] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-06 21:10:02,833] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-06 21:10:02,955]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:10:02,959] Postcondition: Close the browser
[INFO ] [2021-09-06 21:10:35,663] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-06 21:10:44,028] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-06 21:10:44,206]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-09-06 21:10:44,209] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-06 21:10:45,760] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-06 21:10:46,087] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-06 21:10:46,247] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-06 21:10:46,355] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing188@mail.vn
[INFO ] [2021-09-06 21:10:46,475] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:10:46,561] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-06 21:10:46,658] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-06 21:10:48,925] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-06 21:10:49,016]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-09-06 21:10:49,016] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-06 21:10:50,519] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-06 21:10:50,635]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:10:50,650] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-06 21:10:52,022] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing188@mail.vn
[INFO ] [2021-09-06 21:10:52,153] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:10:52,258] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-06 21:10:53,150] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-06 21:10:53,282]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:10:53,285] Postcondition: Close the browser
[INFO ] [2021-09-06 21:14:01,163] Preconditon: Open browser Firefox and navigate to https://demo.nopcommerce.com/
[INFO ] [2021-09-06 21:14:09,290] User_01_Register_To_System- Step 01: Verify Home Page is displayed
[INFO ] [2021-09-06 21:14:09,461]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-09-06 21:14:09,464] User_01_Register_To_System- Step 02:Click to Register Link
[INFO ] [2021-09-06 21:14:11,126] User_01_Register_To_System- Step 03: Click to Male Radio Button
[INFO ] [2021-09-06 21:14:11,455] User_01_Register_To_System- Step 04: Enter to First Name textbox: Automation
[INFO ] [2021-09-06 21:14:11,630] User_01_Register_To_System- Step 05: Enter to Last Name textbox: Testing
[INFO ] [2021-09-06 21:14:11,731] User_01_Register_To_System- Step 06: Enter to Email textbox:automation_testing320@mail.vn
[INFO ] [2021-09-06 21:14:11,853] User_01_Register_To_System- Step 07: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:14:11,938] User_01_Register_To_System- Step 08:Enter to Confirm Password textbox: 123123
[INFO ] [2021-09-06 21:14:12,033] User_01_Register_To_System- Step 09: Cli to Register button
[INFO ] [2021-09-06 21:14:14,343] User_01_Register_To_System- Step 10: Verify register message success is displayed
[INFO ] [2021-09-06 21:14:14,438]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-09-06 21:14:14,438] User_01_Register_To_System- Step 11: Click to Logout Link
[INFO ] [2021-09-06 21:14:16,770] User_01_Register_To_System- Step 12: Verify Home Page is displayed
[INFO ] [2021-09-06 21:14:16,928]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:14:16,937] User_02_Login_To_System- Step 01: Click to Login link
[INFO ] [2021-09-06 21:14:17,530] User_02_Login_To_System- Step 02: Enter to Email textbox with value:automation_testing320@mail.vn
[INFO ] [2021-09-06 21:14:17,652] User_02_Login_To_System- Step 03: Enter to Password textbox:123123
[INFO ] [2021-09-06 21:14:17,738] User_01_Register_To_System- Step 04: Click to Login Button
[INFO ] [2021-09-06 21:14:19,577] User_01_Register_To_System- Step 05: Verify Home Page is displayed
[INFO ] [2021-09-06 21:14:19,674]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-09-06 21:14:19,676] Postcondition: Close the browser
